"filename", "language", "Log", "C", "C++", "Makefile", "Properties", "Assembler file", "Ini", "DeviceTree", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/bochs/share/doc/bochs/slirp.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 49, 8, 57
"/home/ysy/code/Os_wrtie/bochs/share/doc/bochs/vnet.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 25
"/home/ysy/code/Os_wrtie/build/debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ysy/code/Os_wrtie/build/iso/boot/grub/grub.cfg", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/ysy/code/Os_wrtie/build/serial.log", "Log", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/home/ysy/code/Os_wrtie/src/Makefile", "Makefile", 0, 0, 0, 133, 0, 0, 0, 0, 0, 28, 161
"/home/ysy/code/Os_wrtie/src/boot/boot.asm", "Assembler file", 0, 0, 0, 0, 0, 102, 0, 0, 0, 26, 128
"/home/ysy/code/Os_wrtie/src/boot/loader.asm", "Assembler file", 0, 0, 0, 0, 0, 154, 0, 0, 0, 44, 198
"/home/ysy/code/Os_wrtie/src/bx_enh_dbg.ini", "Ini", 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"/home/ysy/code/Os_wrtie/src/cdrok.mk", "Makefile", 0, 0, 0, 20, 0, 0, 0, 0, 6, 6, 32
"/home/ysy/code/Os_wrtie/src/devicetree/device.dts", "DeviceTree", 0, 0, 0, 0, 0, 0, 0, 69, 8, 11, 88
"/home/ysy/code/Os_wrtie/src/include/onix/arena.h", "C", 0, 20, 0, 0, 0, 0, 0, 0, 2, 7, 29
"/home/ysy/code/Os_wrtie/src/include/onix/assert.h", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/ysy/code/Os_wrtie/src/include/onix/bitmap.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 24
"/home/ysy/code/Os_wrtie/src/include/onix/console.h", "C", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/ysy/code/Os_wrtie/src/include/onix/debug.h", "C", 0, 6, 0, 0, 0, 0, 0, 0, 1, 6, 13
"/home/ysy/code/Os_wrtie/src/include/onix/device.h", "C++", 0, 0, 35, 0, 0, 0, 0, 0, 4, 10, 49
"/home/ysy/code/Os_wrtie/src/include/onix/devicetree.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 6, 7, 21
"/home/ysy/code/Os_wrtie/src/include/onix/fifo.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/ysy/code/Os_wrtie/src/include/onix/global.h", "C", 0, 78, 0, 0, 0, 0, 0, 0, 5, 12, 95
"/home/ysy/code/Os_wrtie/src/include/onix/ide.h", "C++", 0, 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"/home/ysy/code/Os_wrtie/src/include/onix/interrupt.h", "C", 0, 43, 0, 0, 0, 0, 0, 0, 26, 10, 79
"/home/ysy/code/Os_wrtie/src/include/onix/io.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/home/ysy/code/Os_wrtie/src/include/onix/list.h", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 2, 12, 44
"/home/ysy/code/Os_wrtie/src/include/onix/memory.h", "C", 0, 42, 0, 0, 0, 0, 0, 0, 1, 10, 53
"/home/ysy/code/Os_wrtie/src/include/onix/multiboot2.h", "C", 0, 29, 0, 0, 0, 0, 0, 0, 3, 9, 41
"/home/ysy/code/Os_wrtie/src/include/onix/mutex.h", "C", 0, 20, 0, 0, 0, 0, 0, 0, 3, 8, 31
"/home/ysy/code/Os_wrtie/src/include/onix/onix.h", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/ysy/code/Os_wrtie/src/include/onix/printk.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/home/ysy/code/Os_wrtie/src/include/onix/rtc.h", "C++", 0, 0, 33, 0, 0, 0, 0, 0, 4, 9, 46
"/home/ysy/code/Os_wrtie/src/include/onix/stdarg.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/ysy/code/Os_wrtie/src/include/onix/stdio.h", "C", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/ysy/code/Os_wrtie/src/include/onix/stdlib.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"/home/ysy/code/Os_wrtie/src/include/onix/string.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/ysy/code/Os_wrtie/src/include/onix/syscall.h", "C++", 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"/home/ysy/code/Os_wrtie/src/include/onix/task.h", "C++", 0, 0, 81, 0, 0, 0, 0, 0, 3, 14, 98
"/home/ysy/code/Os_wrtie/src/include/onix/time.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/ysy/code/Os_wrtie/src/include/onix/types.h", "C", 0, 38, 0, 0, 0, 0, 0, 0, 3, 11, 52
"/home/ysy/code/Os_wrtie/src/kernel/arena.c", "C", 0, 86, 0, 0, 0, 0, 0, 0, 18, 22, 126
"/home/ysy/code/Os_wrtie/src/kernel/assert.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 3, 8, 42
"/home/ysy/code/Os_wrtie/src/kernel/clock.c", "C", 0, 109, 0, 0, 0, 0, 0, 0, 7, 28, 144
"/home/ysy/code/Os_wrtie/src/kernel/console.c", "C", 0, 258, 0, 0, 0, 0, 0, 0, 33, 38, 329
"/home/ysy/code/Os_wrtie/src/kernel/debug.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/ysy/code/Os_wrtie/src/kernel/device.c", "C", 0, 77, 0, 0, 0, 0, 0, 0, 8, 9, 94
"/home/ysy/code/Os_wrtie/src/kernel/devicetree.c", "C", 0, 121, 0, 0, 0, 0, 0, 0, 5, 17, 143
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 0, 56, 0, 0, 0, 0, 0, 0, 4, 14, 74
"/home/ysy/code/Os_wrtie/src/kernel/global.c", "C", 0, 68, 0, 0, 0, 0, 0, 0, 3, 13, 84
"/home/ysy/code/Os_wrtie/src/kernel/handler.asm", "Assembler file", 0, 0, 0, 0, 0, 166, 0, 0, 0, 33, 199
"/home/ysy/code/Os_wrtie/src/kernel/ide.c", "C", 0, 337, 0, 0, 0, 0, 0, 0, 36, 61, 434
"/home/ysy/code/Os_wrtie/src/kernel/interrupt.c", "C", 0, 216, 0, 0, 0, 0, 0, 0, 14, 38, 268
"/home/ysy/code/Os_wrtie/src/kernel/io.asm", "Assembler file", 0, 0, 0, 0, 0, 50, 0, 0, 0, 19, 69
"/home/ysy/code/Os_wrtie/src/kernel/keyboard.c", "C", 0, 370, 0, 0, 0, 0, 0, 0, 13, 48, 431
"/home/ysy/code/Os_wrtie/src/kernel/main.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/ysy/code/Os_wrtie/src/kernel/memory.c", "C", 0, 393, 0, 0, 0, 0, 0, 0, 40, 82, 515
"/home/ysy/code/Os_wrtie/src/kernel/mutex.c", "C", 0, 59, 0, 0, 0, 0, 0, 0, 8, 18, 85
"/home/ysy/code/Os_wrtie/src/kernel/printk.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/ysy/code/Os_wrtie/src/kernel/rtc.c", "C", 0, 91, 0, 0, 0, 0, 0, 0, 14, 24, 129
"/home/ysy/code/Os_wrtie/src/kernel/schedule.asm", "Assembler file", 0, 0, 0, 0, 0, 20, 0, 0, 0, 9, 29
"/home/ysy/code/Os_wrtie/src/kernel/start.asm", "Assembler file", 0, 0, 0, 0, 0, 53, 0, 0, 0, 12, 65
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 0, 330, 0, 0, 0, 0, 0, 0, 25, 85, 440
"/home/ysy/code/Os_wrtie/src/kernel/thread.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 18, 7, 66
"/home/ysy/code/Os_wrtie/src/kernel/time.c", "C", 0, 139, 0, 0, 0, 0, 0, 0, 10, 27, 176
"/home/ysy/code/Os_wrtie/src/lib/bitmap.c", "C", 0, 55, 0, 0, 0, 0, 0, 0, 8, 19, 82
"/home/ysy/code/Os_wrtie/src/lib/fifo.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/ysy/code/Os_wrtie/src/lib/list.c", "C", 0, 97, 0, 0, 0, 0, 0, 0, 13, 23, 133
"/home/ysy/code/Os_wrtie/src/lib/printf.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/home/ysy/code/Os_wrtie/src/lib/stdlib.c", "C", 0, 45, 0, 0, 0, 0, 0, 0, 6, 10, 61
"/home/ysy/code/Os_wrtie/src/lib/string.c", "C", 0, 176, 0, 0, 0, 0, 0, 0, 2, 16, 194
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 0, 70, 0, 0, 0, 0, 0, 0, 2, 16, 88
"/home/ysy/code/Os_wrtie/src/lib/vsprintf.c", "C", 0, 285, 0, 0, 0, 0, 0, 0, 81, 50, 416
"/home/ysy/code/Os_wrtie/src/utils/grub.cfg", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/ysy/code/Os_wrtie/test/call.asm", "Assembler file", 0, 0, 0, 0, 0, 16, 0, 0, 0, 9, 25
"/home/ysy/code/Os_wrtie/test/makefile", "Makefile", 0, 0, 0, 14, 0, 0, 0, 0, 8, 4, 26
"/home/ysy/code/Os_wrtie/test/param.c", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ysy/code/Os_wrtie/test/param.s", "Assembler file", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"/home/ysy/code/Os_wrtie/test/types.c", "C", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 6, 3960, 378, 167, 10, 591, 26, 69, 527, 1123, 6857
