Date : 2026-03-23 21:58:14
Directory : /home/ysy/Code/My_OS
Total : 161 files,  -380 codes, 32 comments, -105 blanks, all -453 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |         89 |        220 |         25 |         53 |        298 |
| Makefile       |          8 |         45 |         14 |          5 |         64 |
| C++            |         39 |         38 |          1 |         10 |         49 |
| Markdown       |          2 |          0 |          0 |          0 |          0 |
| Properties     |          8 |          0 |          0 |          0 |          0 |
| Ini            |          2 |          0 |          0 |          0 |          0 |
| Log            |          4 |          0 |          0 |          0 |          0 |
| DeviceTree     |          1 |        -69 |         -8 |        -11 |        -88 |
| Assembler file |          8 |       -614 |          0 |       -162 |       -776 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                        |        161 |       -380 |         32 |       -105 |       -453 |
| ..                                                       |         83 |     -6,211 |       -665 |     -1,347 |     -8,223 |
| ../..                                                    |         83 |     -6,211 |       -665 |     -1,347 |     -8,223 |
| ../../code                                               |         83 |     -6,211 |       -665 |     -1,347 |     -8,223 |
| ../../code/Os_wrtie                                      |         83 |     -6,211 |       -665 |     -1,347 |     -8,223 |
| ../../code/Os_wrtie/bochs                                |          2 |          0 |        -70 |        -12 |        -82 |
| ../../code/Os_wrtie/bochs/share                          |          2 |          0 |        -70 |        -12 |        -82 |
| ../../code/Os_wrtie/bochs/share/doc                      |          2 |          0 |        -70 |        -12 |        -82 |
| ../../code/Os_wrtie/bochs/share/doc/bochs                |          2 |          0 |        -70 |        -12 |        -82 |
| ../../code/Os_wrtie/build                                |          3 |        -11 |          0 |         -7 |        -18 |
| ../../code/Os_wrtie/build (Files)                        |          2 |         -6 |          0 |         -6 |        -12 |
| ../../code/Os_wrtie/build/iso                            |          1 |         -5 |          0 |         -1 |         -6 |
| ../../code/Os_wrtie/build/iso/boot                       |          1 |         -5 |          0 |         -1 |         -6 |
| ../../code/Os_wrtie/build/iso/boot/grub                  |          1 |         -5 |          0 |         -1 |         -6 |
| ../../code/Os_wrtie/docs                                 |          1 |        -86 |          0 |        -18 |       -104 |
| ../../code/Os_wrtie/src                                  |         72 |     -6,017 |       -587 |     -1,289 |     -7,893 |
| ../../code/Os_wrtie/src (Files)                          |          3 |       -192 |         -7 |        -38 |       -237 |
| ../../code/Os_wrtie/src/boot                             |          2 |       -256 |          0 |        -70 |       -326 |
| ../../code/Os_wrtie/src/devicetree                       |          1 |        -69 |         -8 |        -11 |        -88 |
| ../../code/Os_wrtie/src/include                          |         31 |       -883 |        -92 |       -250 |     -1,225 |
| ../../code/Os_wrtie/src/include/onix                     |         31 |       -883 |        -92 |       -250 |     -1,225 |
| ../../code/Os_wrtie/src/kernel                           |         26 |     -3,832 |       -368 |       -770 |     -4,970 |
| ../../code/Os_wrtie/src/lib                              |          8 |       -780 |       -112 |       -149 |     -1,041 |
| ../../code/Os_wrtie/src/utils                            |          1 |         -5 |          0 |         -1 |         -6 |
| ../../code/Os_wrtie/test                                 |          5 |        -97 |         -8 |        -21 |       -126 |
| bochs                                                    |          2 |          0 |         70 |         12 |         82 |
| bochs/share                                              |          2 |          0 |         70 |         12 |         82 |
| bochs/share/doc                                          |          2 |          0 |         70 |         12 |         82 |
| bochs/share/doc/bochs                                    |          2 |          0 |         70 |         12 |         82 |
| build                                                    |          3 |         11 |          0 |          7 |         18 |
| build (Files)                                            |          2 |          6 |          0 |          6 |         12 |
| build/iso                                                |          1 |          5 |          0 |          1 |          6 |
| build/iso/boot                                           |          1 |          5 |          0 |          1 |          6 |
| build/iso/boot/grub                                      |          1 |          5 |          0 |          1 |          6 |
| docs                                                     |          1 |         86 |          0 |         18 |        104 |
| src                                                      |         69 |      5,683 |        619 |      1,194 |      7,496 |
| src (Files)                                              |          2 |        119 |          0 |         18 |        137 |
| src/include                                              |         32 |        920 |         94 |        259 |      1,273 |
| src/include/onix                                         |         32 |        920 |         94 |        259 |      1,273 |
| src/kernel                                               |         23 |      3,741 |        392 |        742 |      4,875 |
| src/lib                                                  |          8 |        780 |        112 |        149 |      1,041 |
| src/utils                                                |          4 |        123 |         21 |         26 |        170 |
| test                                                     |          3 |         51 |          8 |         11 |         70 |
+----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                 | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/ysy/Code/My_OS/bochs/share/doc/bochs/slirp.conf    | Properties     |          0 |         49 |          8 |         57 |
| /home/ysy/Code/My_OS/bochs/share/doc/bochs/vnet.conf     | Properties     |          0 |         21 |          4 |         25 |
| /home/ysy/Code/My_OS/build/debug.log                     | Log            |          0 |          0 |          1 |          1 |
| /home/ysy/Code/My_OS/build/iso/boot/grub/grub.cfg        | Properties     |          5 |          0 |          1 |          6 |
| /home/ysy/Code/My_OS/build/serial.log                    | Log            |          6 |          0 |          5 |         11 |
| /home/ysy/Code/My_OS/docs/arm_porting.md                 | Markdown       |         86 |          0 |         18 |        104 |
| /home/ysy/Code/My_OS/src/Makefile                        | Makefile       |         93 |          0 |         17 |        110 |
| /home/ysy/Code/My_OS/src/bx_enh_dbg.ini                  | Ini            |         26 |          0 |          1 |         27 |
| /home/ysy/Code/My_OS/src/include/onix/apic.h             | C++            |         41 |          8 |         17 |         66 |
| /home/ysy/Code/My_OS/src/include/onix/arena.h            | C              |         20 |          2 |          7 |         29 |
| /home/ysy/Code/My_OS/src/include/onix/assert.h           | C              |         10 |          0 |          4 |         14 |
| /home/ysy/Code/My_OS/src/include/onix/bitmap.h           | C++            |         15 |          0 |          9 |         24 |
| /home/ysy/Code/My_OS/src/include/onix/buffer.h           | C++            |         23 |          0 |          5 |         28 |
| /home/ysy/Code/My_OS/src/include/onix/console.h          | C              |          6 |          1 |          4 |         11 |
| /home/ysy/Code/My_OS/src/include/onix/debug.h            | C              |          6 |          1 |          6 |         13 |
| /home/ysy/Code/My_OS/src/include/onix/device.h           | C++            |         60 |          6 |         13 |         79 |
| /home/ysy/Code/My_OS/src/include/onix/devicetree.h       | C++            |          9 |          7 |          8 |         24 |
| /home/ysy/Code/My_OS/src/include/onix/fifo.h             | C++            |         16 |          0 |          4 |         20 |
| /home/ysy/Code/My_OS/src/include/onix/global.h           | C              |         78 |          5 |         12 |         95 |
| /home/ysy/Code/My_OS/src/include/onix/ide.h              | C++            |         63 |          2 |         11 |         76 |
| /home/ysy/Code/My_OS/src/include/onix/interrupt.h        | C              |         43 |         27 |         10 |         80 |
| /home/ysy/Code/My_OS/src/include/onix/io.h               | C++            |         10 |          0 |          4 |         14 |
| /home/ysy/Code/My_OS/src/include/onix/list.h             | C++            |         30 |          2 |         12 |         44 |
| /home/ysy/Code/My_OS/src/include/onix/memory.h           | C              |         50 |          2 |         10 |         62 |
| /home/ysy/Code/My_OS/src/include/onix/mmio.h             | C++            |         37 |          7 |          9 |         53 |
| /home/ysy/Code/My_OS/src/include/onix/multiboot2.h       | C              |         29 |          3 |          9 |         41 |
| /home/ysy/Code/My_OS/src/include/onix/mutex.h            | C              |         20 |          3 |          8 |         31 |
| /home/ysy/Code/My_OS/src/include/onix/nvme.h             | C++            |         85 |          5 |         19 |        109 |
| /home/ysy/Code/My_OS/src/include/onix/onix.h             | C              |          5 |          0 |          3 |          8 |
| /home/ysy/Code/My_OS/src/include/onix/pci.h              | C++            |         12 |          3 |          8 |         23 |
| /home/ysy/Code/My_OS/src/include/onix/printk.h           | C++            |          4 |          0 |          2 |          6 |
| /home/ysy/Code/My_OS/src/include/onix/rtc.h              | C++            |         33 |          4 |          9 |         46 |
